skuId,specAttrs,price,discountPrice,canBookCount
5783058881211,湖蓝色;25*35,0.45,0.45,1091964
5446989327119,玫红色;25*35,0.45,0.45,1094532
5446989327092,白色;15*20,0.23,0.23,719925
5446989327104,黑色;20*30,0.36,0.36,902196
5446989327315,果绿色;35*50,0.92,0.92,2137
5446989327148,橄榄绿;20*30,0.36,0.36,924646
5783058881263,浅紫色;7x9cm,0.09,0.09,443438
5783058881237,咖啡色;7x9cm,0.09,0.09,787561
5446989327131,宝蓝色;10*12,0.14,0.14,7882
5446989327366,血牙色;17*23,0.26,0.26,1070524
5446989327114,宝蓝色;10*15,0.15,0.15,978314
5446989327237,粉色;13*18,0.18,0.18,779076
5446989327134,红色;17*23,0.26,0.26,1067468
5783058881230,浅紫色;15*20,0.23,0.23,1034735
5446989327291,果绿色;30*40,0.60,0.60,23270
5446989327383,混色;5x7cm,0.12,0.12,83685
5446989327233,果绿色;13*18,0.18,0.18,1066763
5783058881215,浅紫色;10*12,0.14,0.14,18
5446989327400,粉色;8x10cm,0.12,0.12,23
5783058881220,湖蓝色;20*30,0.36,0.36,1067326
5446989327120,橄榄绿;25*35,0.45,0.45,1090662
5446989327307,桔色;10*15,0.15,0.15,1007590
5783058881231,咖啡色;15*20,0.23,0.23,1085454
5446989327147,玫红色;20*30,0.36,0.36,1050969
5446989327100,黑色;25*35,0.45,0.45,1071739
5446989327430,宝蓝色;7x9cm,0.09,0.09,729891
5446989327108,酒红色;10*15,0.15,0.15,893337
5783058881209,浅紫色;10*15,0.15,0.15,916083
5446989327392,米色;8x10cm,0.12,0.12,12160
5446989327273,混色;25*35,0.46,0.46,1081580
5783058881216,咖啡色;10*12,0.14,0.14,33573
5783058881266,湖蓝色;5x7cm,0.11,0.11,116676
5783058881210,咖啡色;10*15,0.15,0.15,1042259
5981448974148,柠檬黄;5x7cm,0.11,0.11,0
5783058881259,藏青色;11*16,0.16,0.16,1080916
5446989327368,黑色;5x7cm,0.11,0.11,834463
5446989327334,米色;17*23,0.26,0.26,997727
5446989327350,桔色;15*20,0.23,0.23,1079313
5783058881255,柠檬黄;13*18,0.18,0.18,1082797
5446989327412,白色;7x9cm,0.09,0.09,2953104
5446989327409,橄榄绿;8x10cm,0.12,0.12,0
5446989327390,白色;8x10cm,0.12,0.12,4834949
5446989327314,金色;35*50,0.92,0.92,3820
5446989327297,深紫色;30*40,0.60,0.60,260
5446989327177,酒红色;15*20,0.23,0.23,1033148
5446989327349,桔色;10*12,0.14,0.14,3809
5446989327170,金色;30*40,0.60,0.60,1636
5446989327188,金色;13*18,0.18,0.18,551790
5446989327420,酒红色;7x9cm,0.09,0.09,856969
5446989327094,白色;20*30,0.36,0.36,86500
5446989327226,桔色;9*12,0.13,0.13,965043
5446989327110,灰色;10*15,0.14,0.14,836281
5446989327179,灰色;15*20,0.23,0.23,817000
