skuId,specAttrs,price,discountPrice,canBookCount
4725378380157,{28cm发光大号拍手,1.09,1.09,682142
4249320793155,小号19cm无笑脸（全新料））,0.30,0.30,728385
6005129581183,篮球拍手,1.55,1.55,49189
6005129581184,足球拍手,1.55,1.55,44655
4259965307564,小号19cm{有笑脸不发光}},0.32,0.32,751845
4899316118473,24cm发光中号拍手,1.05,1.05,2825
4249320793153,中号24cm无笑脸（全新料）,0.49,0.49,647280
4249320793154,大号28cm无笑脸（全新料）,0.60,0.60,620231
4223606589544,不发光国旗拍手,0.80,0.80,944098
4249320793156,大号28cm有笑脸（全新料）,0.62,0.62,60064
4223606589543,发光国旗拍手,1.22,1.22,960643
4249320793157,中号24cm有笑脸（全新料）,0.52,0.52,315949
5171017878947,32CM带笑脸【全新料】,1.25,1.25,4383
5146161551998,28cm拍手单个包装,0.75,0.75,107
