skuId,specAttrs,price,discountPrice,canBookCount
5369635293439,竖款 宽15*高25*侧宽7;1个;透明,1.09,1.09,99999
5532171827814,横款 宽20*高16*侧7cm;1个;透明,1.02,1.02,99974
5532171827815,正方形 宽20*高20*侧8cm;1个;透明,1.02,1.02,99724
5532171827813,正方形 宽17.5*高17.5*侧9.5cm;1个;透明,0.85,0.85,99999
5532171827832,竖款 宽15*高33*侧宽7;1个;透明,1.18,1.18,99999
5532171827820,正方形 宽28*高28*侧10cm;1个;透明,1.29,1.29,99999
5532171827829,横款 宽40*高30*侧宽10cm;1个;透明,1.72,1.72,99999
5532171827822,竖款 宽24*高34*侧12cm;1个;透明,1.78,1.78,99999
5532171827808,竖款 宽15*高16*侧7cm;1个;透明,0.72,0.72,96434
5532171827834,横版 宽31 *高26* 侧宽8;1个;透明,1.72,1.72,99999
5532171827811,竖款 宽17*高23*侧7cm;1个;透明,1.12,1.12,99999
5532171827824,竖款 宽30*高35*侧12cm;1个;透明,1.86,1.86,99995
5532171827810,竖款 宽13*高19*侧8cm;1个;透明,0.75,0.75,99999
5532171827809,竖款 宽15*高20*侧7cm;1个;透明,0.80,0.80,99519
5532171827812,竖款 宽10*高25*侧宽10cm;1个;透明,0.95,0.95,98599
5532171827818,竖款 宽20*高30*侧10cm;1个;透明,1.14,1.14,99999
5532171827828,竖款 宽18*高25*侧8cm;1个;透明,1.12,1.12,99999
5532171827827,正方形 22*22*8;1个;透明,1.06,1.06,99999
5532171827816,竖款 宽20*高25*侧7cm;1个;透明,1.13,1.13,99903
5532171827817,竖款 宽20*高28*侧10cm;1个;透明,1.30,1.30,99999
5532171827831,横版 宽25*高20*侧宽8;1个;透明,1.09,1.09,99999
5532171827823,横款 宽34*高24*侧12cm;1个;透明,1.78,1.78,99999
5532171827825,横款 宽35*高30*侧12cm;1个;透明,1.85,1.85,99924
5532171827821,竖款 宽26*高31*侧8cm;1个;透明,1.72,1.72,99999
5532171827807,竖款 宽13*高15*侧7cm;1个;透明,0.61,0.61,99969
5532171827826,竖款 宽30*高40*侧10cm;1个;透明,1.86,1.86,99999
5532171827833,正方形 宽22*高22*侧宽14;1个;透明,1.28,1.28,99999
5532171827819,正方形 宽25*高25*侧9cm;1个;透明,1.24,1.24,99999
5532171827830,定制LOGO图案;1个;透明,1.99,1.99,99866
