skuId,specAttrs,price,discountPrice,canBookCount
6036647907633,透明包包公仔挂浅灰色-六层,32.00,32.00,4928
6015387488128,透明包包挂袋-浅灰 四层,23.00,23.00,58897
5877567766352,透明包包挂袋-米色 四层,23.00,23.00,88588
6036647907631,透明包包公仔挂袋浅灰色-五层,28.00,28.00,49934
5877567766354,透明包包挂袋-深灰 四层,23.00,23.00,88882
6036647907630,透明包包公仔挂袋米色-五层,28.00,28.00,49859
6291020982956,透明包包公仔挂米色-十层,36.50,36.50,4928
6291020982954,透明包包公仔挂浅灰色-八层,40.90,40.90,4928
6291020982953,透明包包公仔挂袋米色-八层,36.50,36.50,4928
6036647907632,透明包包公仔挂袋米色-六层,32.00,32.00,4827
6291020982955,透明包包公仔挂浅灰色-十层,40.90,40.90,4928
5877567766351,透明包包挂袋-米色 三层,18.00,18.00,89179
5877567766353,透明包包挂袋-深灰 三层,18.00,18.00,89796
