skuId,specAttrs,price,discountPrice,canBookCount
5944418209881,灰色&gt;3寸,,,84351
5937820968599,焦糖黄&gt;3寸,,,76777
5937820968592,少女粉&gt;3寸,,,68746
5937820968597,墨绿色&gt;3寸,,,81365
5937820968604,浅紫色&gt;3寸,,,80119
5937820968595,冰川蓝&gt;3寸,,,77526
5937820968598,浅草绿&gt;3寸,,,78284
5937820968602,白色&gt;3寸,,,42907
5937820968603,深紫色&gt;3寸,,,82572
5937820968596,深蓝色&gt;3寸,,,79959
5937820968594,淡粉色&gt;3寸,,,81674
5937820968591,透明色&gt;3寸,,,28821
5937820968601,黑色&gt;3寸,,,73209
5937820968593,玫粉色&gt;3寸,,,80494
5937820968600,桔色&gt;3寸,,,82449
